occurrenceID	scientificName	eventDate	verbatimEventDate	decimalLatitude	decimalLongitude	locality	minimumDepthInMeters	maximumDepthInMeters	coordinateUncertaintyInMeters	basisOfRecord	occurrenceStatus	identificationVerificationStatus	references	additionalReferences	modified	footprintWKT	occurrenceRemarks	eventRemarks
e960b3d0-8f13-4e6e-835a-358f9ac11d74	Aureococcus anophagefferens			39.5879	-74.2318	Beach Haven Terrace, New Jersey				HumanObservation	present	1 - good	Estuaries (2004) 27: 112-119					
0fcc6c5e-7d23-4e9d-9b25-4f955073761c	Chattonella	1994/2006		35.0098	-76.9084	Neuse River Estuary, North Carolina, USA				HumanObservation	present	1 - good	Limnology and Oceanography (2009) 54: 2107–2127			LINESTRING (-77.00592 35.07609, -76.81915 34.95124)		
5447bca4-b250-4876-b8c0-15a733272d96	Chattonella subsalsa	2001/2005		32.8057	-79.9063	South Carolina coastline, USA				HumanObservation	present	1 - good	Harmful Algae (2008) 8:60-65			MULTIPOINT (-80.80990 32.12450, -79.20040 33.41080)		
439adac2-7de4-4bf7-921e-f84e44e73972	Chattonella subsalsa	1984/2004		38.239	-76.0978	Chesapeake Bay, USA (Maryland and Virginia)				HumanObservation	present	1 - good	Journal of Plankton Research (2005) 27:1083-1102			LINESTRING (-76.3385 39.2875, -76.2231 37.1866)		
c4c6f928-88a9-402c-93f0-3d820999d1fc	Chattonella subsalsa	2003/2004				two open water sites on the South Carolina coast, USA				HumanObservation	present	1 - good	South Carolina Marine Resources Division. Condition of South Carolina's Estuarine and Coastal Habitats during 2003-2004. (2006) Technical Report 101			LINESTRING (-78.96973 33.55971, -80.94727 32.04533)		
5ea7d466-5c5b-4f7a-8b3c-835adeed8fd6	Chattonella subsalsa	2001-06-26		32.2184	-80.7525	"Pond HH-A" on Hilton Head, South Carolina, USA				HumanObservation	present	1 - good	Population and Environment (2003) 24:387-413					
c282afcf-e5f6-406c-9be0-2c74df1a6ce3	Chattonella subsalsa	2001-05-03		32.608672	-80.084596	"Pond K-B" on Kiawah Island, South Carolina, USA				HumanObservation	present	1 - good	Population and Environment (2003) 24:387-413					
f37e36bc-4ddd-4a4a-8612-37a91c94d737	Chattonella subsalsa	2001-05-08		32.608672	-80.084596	"Pond K-B" on Kiawah Island, South Carolina, USA				HumanObservation	present	1 - good	Population and Environment (2003) 24:387-413					
d3092080-393e-48dc-abe5-abbd7a5e8ff3	Chrysochromulina	1984/2004		38.239	-76.0978	Chesapeake Bay, USA (Maryland and Virginia)				HumanObservation	present	1 - good	Journal of Plankton Research (2005) 27:1083-1102			LINESTRING (-76.3385 39.2875, -76.2231 37.1866)		
26d30f0e-425d-4292-a28f-1b3f4043f0cc	Chrysochromulina	1994/2006		35.0098	-76.9084	Neuse River Estuary, North Carolina, USA				HumanObservation	present	1 - good	Limnology and Oceanography (2009) 54: 2107–2127			LINESTRING (-77.00592 35.07609, -76.81915 34.95124)		
c9357e71-1d73-44d1-8f0f-8924d92f2832	Coelosphaerium kuetzingianum	1969/1979				Rare in the plankton of small ponds, especially in the summer, of North Carolina, USA				HumanObservation	present	1 - good	"A Manual of Fresh-Water Algae" (1984) L. Whitford and G. Schumacher. Sparks Press, Raleigh, North Carolina, USA. Page 132					
a985e7fb-429a-42c4-bc26-73cd8adc43e5	Coelosphaerium kuetzingianum	1940/1967		35.3041	-80.2365	On submerged rocks in pasture somewhere in Stanly County, North Carolina, USA				HumanObservation	present	1 - good	"The Myxophyceae of North Carolina" (1967) E. Cocke. Edwards Brothers, Inc. Ann Arbor, Michigan, USA. Page 20					
5460895a-ba83-41b2-a920-5ae9427d3471	Coelosphaerium kuetzingianum	1940/1967				Plankton of shallow water in lower Piedmont and Coastal Plain, North Carolina, USA				HumanObservation	present	1 - good	"The Myxophyceae of North Carolina" (1967) E. Cocke. Edwards Brothers, Inc. Ann Arbor, Michigan, USA. Page 20			LINESTRING (-76.83838 35.44277, -81.01318 35.04799)		
38f229e8-7e38-450b-a5d4-0fab1712f83c	Synechococcus bacillaris	1958-09-08		41.086352	-72.9449	Long Island Sound, Milford, Connecticut USA				HumanObservation	present	1 - good	Bigelow CCMP culture collection	Estuaries and Coasts (2009) 32:1195-1204			CCMP 1333	
0f034414-dc70-46f8-a99e-6f3c93d6519c	Anabaenopsis raciborskii	1984/2004		38.239	-76.0978	Chesapeake Bay, USA (Maryland and Virginia)				HumanObservation	present	1 - good	Journal of Plankton Research (2005) 27:1083-1102			LINESTRING (-76.3385 39.2875, -76.2231 37.1866)		
86de29ee-9121-4cd8-af29-21a48029d6c3	Cylindrospermopsis raciborskii	2010/2013		37.4789	-78.689	lakes in Virginia, USA				HumanObservation	present	1 - good	Virginia Journal of Science 64:3-15				freshwater lakes	
9d3a28bc-a203-4b3a-9033-06677af7a08e	Cylindrospermopsis raciborskii	1997-08		35.0107	-76.9493	Neuse River, Channel Marker 15, North Carolina, USA				HumanObservation	present	1 - good	Aquatic Ecology (2002) 36:371-385					
