id	measurementType	measurementValue	measurementUnit
0f815897-2a80-4ea8-8bce-44de7e82167f	quantity	1	Sample
69642719-976b-44b4-8ade-f38283c40226	quantity	1	Sample
6738db69-74d0-4f73-80df-8234495f5806	quantity	1	Sample
708e8d27-b6a9-405a-b309-61a7fe1dfb0b	quantity	1	Sample
ab09e976-98d9-4157-8d74-a24270194db2	quantity	1	Sample
fb3e1b82-3c38-4202-9ccc-b205ce14ba64	quantity	1	Sample
aa498f2a-046f-4861-9b3e-92cb7d67e71a	quantity	1	Sample
08cd6e97-1515-4e49-aaec-ec84d8eaefbd	quantity	1	Sample
737425e8-fb47-4ff7-a859-21007cba9edc	quantity	1	Sample
1d6f682c-ecf0-439a-86b6-22fa3a973087	quantity	1	Sample
7d2157ab-f93b-4c12-b4cc-3092c1fda27e	quantity	1	Sample
e04d6fe9-4bd3-48f6-8dd6-42609e45fa4e	quantity	1	Sample
4407138e-2d21-4b4b-8d42-95e231078b4b	quantity	1	Sample
f639a669-707d-46bb-be87-9ebe77550b65	quantity	1	Sample
9584c185-47c1-4789-ab2e-3e6307ee0637	quantity	1	Sample
3ac39d34-202a-488c-9576-426d95cf5517	quantity	1	Sample
4c292f0d-29b8-4090-94ae-74f9f70176d4	quantity	1	Sample
11f3c101-3348-4bb0-b068-11ddc6694710	quantity	1	Sample
dcec2bd9-3797-4b5b-aede-a589c920cfc7	quantity	1	Sample
0d0b5e07-398c-4caa-9851-604369b2d274	quantity	1	Sample
2b1ea9c2-c4fc-4e9d-b4fa-fe8a1738f85e	quantity	1	Sample
79fe29bf-7565-458b-9b82-3cdac8a7965c	quantity	1	Sample
e6506e3f-b2ca-486d-a1b8-c2209ae41b23	quantity	1	Sample
fdd8fac9-ce63-437f-b63e-e9b8aa0af784	quantity	1	Sample
5fee7f77-cac7-4966-a194-5bb34d686375	quantity	1	Sample
ab139706-2328-42b2-a2ff-78af5314fb58	quantity	1	Sample
597a3879-e034-4fa6-a5dc-6b1465ae3e93	quantity	1	Sample
bf514a3f-8856-4128-849e-e739881e9618	quantity	1	Sample
49555469-5569-41da-aead-64ada240d3c2	quantity	1	Sample
c6ed6eaa-4c98-497b-b7c9-07ebaf675fd4	quantity	1	Sample
ed7244ff-4423-470c-9eff-bcff18ba8f23	quantity	1	Sample
83e70b97-102c-477e-91a1-cdd63694098a	quantity	1	Sample
