occurrenceID	scientificName	scientificNameID	eventDate	verbatimEventDate	decimalLatitude	decimalLongitude	locality	minimumDepthInMeters	maximumDepthInMeters	coordinateUncertaintyInMeters	basisOfRecord	occurrenceStatus	identificationVerificationStatus	associatedReferences	modified	footprintWKT	occurrenceRemarks	eventRemarks
4ed55c73-32d7-4376-9fe5-1981855e08d9	Amphidinium carterae	urn:lsid:marinespecies.org:taxname:109723	1997-10		-41.03	173.96	Kauauora;New Zealand;North Island				HumanObservation	present	1	Murray et al., 2004. J . Phycol. 40: 366-382.	2018-03-01		Phylogenetic analyses	
c19caccd-57fc-4317-9e1d-fd2760ade6e0	Amphidinium carterae	urn:lsid:marinespecies.org:taxname:109723	2015-11		-29.24	-177.87	Meyer Island;New Zealand;Kermadec Islands				HumanObservation	present	1	Rhodes et al., 2017. NZ J Mar. Freshw. Research. 51: 490-504	2018-03-16			
7c7b833c-5af4-4e84-8a11-d635bc35d21f	Amphidinium operculatum	urn:lsid:marinespecies.org:taxname:109745			-41.16	173.41	Cable Bay;New Zealand;South Island				HumanObservation	present	1	Murray et al., 2004. J . Phycol. 40: 366-382.	2018-03-01		Phylogenetic analyses	
511a4dc9-cf3b-46f6-8f07-93ac30e447bb	Amphidinium operculatum	urn:lsid:marinespecies.org:taxname:109745			-34.52	172.92	Parengarenga;New Zealand;North Island				HumanObservation	present	1	Murray et al., 2004. J . Phycol. 40: 366-382.	2018-03-01		Phylogenetic analyses	
992c2d6b-77c5-47d4-8391-89ddfc14d7ce	Karenia concordia	urn:lsid:marinespecies.org:taxname:246592	2002-10-14/2002-12-04		-36.47	175.12	Hauraki Gulf;New Zealand;North Island				HumanObservation	present	1	Chang & Ryan 2004 Phycol 43: 552-562	2018-02-22		Haemolytic and cytotoxic	http://haedat.iode.org/viewEvent.php?eventID=6351
a3e4d099-3b2c-45fb-b1aa-369285d57f9a	Karenia concordia	urn:lsid:marinespecies.org:taxname:246592	2010-05		-41.27	174.86	Wellington Harbour;New Zealand;North Island				HumanObservation	present	1	Chang & Mullan 2012 The 15th Int. Conf. on Harmful Algae. Pp.199-202	2018-03-08			http://haedat.iode.org/viewEvent.php?eventID=6367
d4176c2e-bdb7-4fd5-8cab-fd54bc1cd153	Karenia mikimotoi	urn:lsid:marinespecies.org:taxname:233024	2014-02		-34.72	135.86	Coffin Bay;Australia;South Australia				HumanObservation	present	1	Hallegraeff 2015 Aquaculturists' guide	2017-01-17			
40b3693d-e6ad-4f16-85c7-420ea35c2e4b	Karenia mikimotoi	urn:lsid:marinespecies.org:taxname:233024	2006-01-23		-34.76	138.5	Port River;Australia;South Australia				HumanObservation	present	1	de Salas et al. 2004 Phycologia 43: 166-175	2017-01-25			
f1619a21-c072-4b68-81c4-03e2a8a3de0a	Karenia mikimotoi	urn:lsid:marinespecies.org:taxname:233024	1986-06-03		-38.07	145.07	Port Phillip Bay;Australia;Victoria				HumanObservation	present	1	Hallegraeff 2015 Aquaculturists' guide	2017-01-25			
24b139df-8fbd-4f2e-bf17-bdb387c940ee	Karenia mikimotoi	urn:lsid:marinespecies.org:taxname:233024	2007-04-17/2007-04-30		-35.16	174.02	Te Puna Inlet;New Zealand;North Island				HumanObservation	present	1	Smith et al., 2007 Harmful Algae News 34: 1-3	2018-02-27			http://haedat.iode.org/viewEvent.php?eventID=6352
